"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1842949610932932733","Sun Oct 06 15:26:42 +0000 2024","5","Bivitri Susanti is a pseudo-activist Ford &amp; Soros' agent/pundit. That's why she only dares to protest Jokowi but never Prabowo. It won't improve KPK (Corruption Eradication Commission) whether Jokowi or Prabowo who appoints the head of KPK because Prabowo is also corrupt! https://t.co/o7XZmvvIvp","1842949610932932733","https://pbs.twimg.com/media/GZN32hcXgAAraul.jpg","","en","","0","1","2","https://x.com/RooneySianny/status/1842949610932932733","1189845201466122241","RooneySianny"
"1842441610732466543","Sat Oct 05 05:48:05 +0000 2024","179","si Budi itu tokoh utama yg provokasi peringatan darurat kmrn dan jd viral abis Najwa ikutan. Tapi gagal demonya buat adu domba rakyat vs Jokowi Dia fitnah lagi dgn isu fufufafa buat adu domba Prabowo -Gibran biar ribut dan bisa di lengserkan. Bener2 Duta Adu Domba ini orng wkwk https://t.co/CWjFtfPdYj","1842441610732466543","https://pbs.twimg.com/media/GZGq4Lya8AABhYc.jpg","","in","","10","34","65","https://x.com/tekarok007/status/1842441610732466543","1184695438365974528","tekarok007"
"1842488923714716101","Sat Oct 05 08:56:20 +0000 2024","10","Secara khusus Presiden Jokowi juga mengungkapkan ucapan terima kasih kepada Menhan Prabowo yang telah meningkatkan kekuatan pertahanan Indonesia dengan memodernisasi alutsista mendorong industri pertahanan dalam negeri; https://t.co/7kefNMXHEj","1842488986981568949","https://pbs.twimg.com/media/GZHV9ifbEAASekX.jpg","Kemhan_RI","in","Jakarta, Indonesia","0","1","4","https://x.com/Kemhan_RI/status/1842488986981568949","714719021816541184","Kemhan_RI"
"1842172924880679323","Fri Oct 04 12:00:25 +0000 2024","2","Menteri Komunikasi dan Informatika (Menkominfo) Budi Arie Setiadi buka suara terkait mengenai kemungkinan menjabat kembali di pemerintahan baru Prabowo Subianto dan Gibran Rakabuming Raka. #TempoHeadliner https://t.co/K25qfpmoCz","1842172924880679323","https://pbs.twimg.com/media/GZC2cIHboAAViTl.jpg","","in","Indonesia","0","2","1","https://x.com/tempodotco/status/1842172924880679323","18129942","tempodotco"
"1842810168394084593","Sun Oct 06 06:12:36 +0000 2024","10","Biasanya Ucapan mulyono Itu pasti Kebalikannya Faktanya udah nitip nama Calon Mentri https://t.co/rRIhrNI5JW https://t.co/nzW55QhlLU","1842810168394084593","https://pbs.twimg.com/media/GZL6FLtbQAAQt0X.jpg","","in","Brunei","0","4","6","https://x.com/Amran_bin_Al/status/1842810168394084593","1637094881633120256","Amran_bin_Al"
"1842572671357489370","Sat Oct 05 14:28:52 +0000 2024","7","TERUSLAH MENJADI GURU ANGSA DOA KAMI SELALU GOODNIGHT https://t.co/IVgpSWELll","1842572671357489370","https://pbs.twimg.com/media/GZIiFBmbUAAL3-T.jpg","","in","Citayem California ","0","3","0","https://x.com/JHPrabowo/status/1842572671357489370","158912165","JHPrabowo"
"1842763838044995939","Sun Oct 06 03:08:30 +0000 2024","6","sebaiknya klean reset lagi otak kiri dan kanan sblm nerusin omon² kosong klean. udah provokasi demo darurat fufufafa mulyono jokowi ditinggal gibran gak jd dilantik satupun gak laku di akar rumput. mending klean asah biji pake rambut si bleki buat klean saling adu kyk https://t.co/APRrcewpZM","1842763838044995939","https://pbs.twimg.com/media/GZLP8c5aYAASEVT.jpg","","in","Jakarta Capital Region","0","3","3","https://x.com/temanduit/status/1842763838044995939","1299521463150542849","temanduit"
"1842317987355005339","Fri Oct 04 21:36:51 +0000 2024","29","Kapolri Hadiri Doa Bersama Lintas Agama Perayaan HUT ke-79 TNI Jakarta Kapolri Jenderal Pol. Listyo Sigit Prabowo menghadiri doa bersama lintas agama dalam rangkaian perayaan HUT ke-79 di TNI. Acara doa bersama itu dilaksanakan di Lapangan Silang Monas Jakarta Pusat https://t.co/9w5vwtxmow","1842317987355005339","https://pbs.twimg.com/media/GZE6cLpaQAAWeTN.jpg","","in","Kalimantan Timur, Indonesia","0","1","2","https://x.com/polresbontang/status/1842317987355005339","898360064590860288","polresbontang"
"1842798078199488628","Sun Oct 06 05:35:21 +0000 2024","65","@CakKhum Ini kayaknya yang paling kejam ketikan dia https://t.co/XFSc2XYH7Z","1842800792354570336","https://pbs.twimg.com/media/GZLxfUoaYAA6FrR.jpg","CakKhum","in","","0","4","20","https://x.com/MardaniJgMw/status/1842800792354570336","1815395503401836544","MardaniJgMw"
"1842427151938973905","Sat Oct 05 04:50:38 +0000 2024","10","dirgahayu utk TNI semoga semakin KEREN dibawah kepemimpinan Prabowo Subianto ️🇮🇩 https://t.co/s70WIjLlDS","1842427151938973905","https://pbs.twimg.com/media/GZGduuebwAAeBG3.jpg","","in","","0","0","4","https://x.com/nanath27/status/1842427151938973905","1606313787782758401","nanath27"
"1842806787101335751","Sun Oct 06 05:59:10 +0000 2024","13","Hahahahahahahaha.... Nggak yakin sih Prabowo mau keluarin Keppres pemindahan IKN. https://t.co/GYVYrwQjkL","1842806787101335751","https://pbs.twimg.com/media/GZL3AYvbcAAMj__.jpg","","in","Jakarta Capital Region","2","2","4","https://x.com/FahmiAgustian/status/1842806787101335751","31058944","FahmiAgustian"
"1842031647124029541","Fri Oct 04 02:39:02 +0000 2024","12","Jangan ya dek jangaaan .. Singapur makin tajir Yg jualin Pasir alamnya makin rusak makin kaya kagak tambah miskin iyak https://t.co/xxkiBpRMG6","1842031647124029541","https://pbs.twimg.com/media/GZA1-3FawAAH1K4.jpg","","in","Citayem California ","0","0","5","https://x.com/JHPrabowo/status/1842031647124029541","158912165","JHPrabowo"
"1842441766974406843","Sat Oct 05 05:48:42 +0000 2024","5","Bisa gak ndut menu makan siangnya seenaknya ini @prabowo https://t.co/gCdj4MEUSg","1842441766974406843","https://pbs.twimg.com/media/GZGrBdabwAA-i_a.jpg","","in","𝒆𝒕𝒆𝒓𝒏𝒂𝒍𝒍𝒚 𝒍𝒐𝒗𝒆𝒅⋆","1","1","0","https://x.com/augustien_/status/1842441766974406843","1211115770450571264","augustien_"
"1842375820884717948","Sat Oct 05 01:26:40 +0000 2024","10","Kopi + Rengginang Masyaallah nikmat https://t.co/xPpYXKEOx0","1842375820884717948","https://pbs.twimg.com/media/GZFvCpZbsAEXF9q.jpg","","in","Citayem California ","0","4","0","https://x.com/JHPrabowo/status/1842375820884717948","158912165","JHPrabowo"
"1842397209826111789","Sat Oct 05 10:53:21 +0000 2024","114","@RajaJuliAntoni Pak @prabowo jangan lupa.. anda pernah di caci maki sama org ini ya org ini si juli penjilad. Dari partai @psi_id Inget ya Pak inget anda pernah di caci maki https://t.co/QhVSTIukcN","1842518432950219141","https://pbs.twimg.com/media/GZHwvyPaUAAaF_i.jpg","RajaJuliAntoni","in","","0","11","23","https://x.com/DellaPerdana2/status/1842518432950219141","1331552412813824001","DellaPerdana2"
"1842072780097101986","Fri Oct 04 05:22:29 +0000 2024","8","Orang rubah haluan itu wajar2 saja. Sama sprti seorang Anies Baswedan orang yg anda dukung berubah haluan dri jubir Jokowi pindah ke Prabowo untuk dapat dukungan dan sumber daya berupa uang dll untuk bsa menjadi cagub dki 1 People change and its normal. https://t.co/Jsjw8ABqP5","1842072780097101986","https://pbs.twimg.com/media/GZBbbVnbAAAWYVp.jpg","","in","","4","8","2","https://x.com/AndrewsTjan/status/1842072780097101986","1176673445263765504","AndrewsTjan"
"1842114921905172752","Fri Oct 04 08:09:56 +0000 2024","2","Yang mau jatah dan nyusul gabung KIM plus Kabinet Pemerintahan Prabowo Gibran mohon di TEST Joget Gemoy dulu yah Hasto bisa gag oke gas oke gas https://t.co/TAwucEVrKS","1842114921905172752","https://pbs.twimg.com/media/GZCBwJGbAAEL5Cr.jpg","","in","Somewhere over the rainbow ","0","1","1","https://x.com/DakotaGeorgy/status/1842114921905172752","1717067783165620224","DakotaGeorgy"
"1842489360534614261","Sat Oct 05 08:57:50 +0000 2024","7","Dirgahayu Tentara Nasional Indonesia ke-79 tahun. Selalu membela Rakyat dan mempertahankan Negara Republik Indonesia. https://t.co/QRbaMoZHBN","1842489360534614261","https://pbs.twimg.com/media/GZHWTn4bEAI5Du6.jpg","","in","","0","1","4","https://x.com/prabowogibran2/status/1842489360534614261","1723938002685296640","prabowogibran2"
"1842443553324310711","Sat Oct 05 05:55:48 +0000 2024","4","lebih lelah lagi menunggu dan menunggu selama 10 tahun satu per satu jabatan cuma lewat di depan mata tinggal lah ku sendiri terpaku menatap mayiiiiiiiitttt barangkali di sana ada jawabnya (Ibeet G Aduul) https://t.co/mWB8zpcBar","1842443553324310711","https://pbs.twimg.com/media/GZGspX5bcAA9ucp.jpg","","in","Jakarta Capital Region","0","2","1","https://x.com/temanduit/status/1842443553324310711","1299521463150542849","temanduit"
"1842220896595177565","Fri Oct 04 15:11:03 +0000 2024","9","Setelah Mas @pramonoanung Bertemu Habib Luthfi bin Yahya Selanjutnya Relawan Ndaru Pengikut Habib Luthfi Dukung Prabowo-Gibran Apakah Tanda-tanda Akan Mendukung Mas Pram? Relawan Nderek Guru menyatakan dukungannya untuk Prabowo Subianto-Gibran Rakabuming. https://t.co/TSaXNdv6EW https://t.co/BVGg11QYxV","1842220896595177565","https://pbs.twimg.com/media/GZDiI7ZbUAAA2_C.jpg","","in","Jakarta, Indonesia","0","1","6","https://x.com/Mata_Netizen62/status/1842220896595177565","817971930103828480","Mata_Netizen62"
"1842154402120958119","Fri Oct 04 10:46:49 +0000 2024","2","Yaah belum juga di liat tweet nya udah gembokan...... https://t.co/g2CY2kE2BC","1842154402120958119","https://pbs.twimg.com/media/GZClqguakAAPjOr.jpg","","in","Citayem California ","0","1","0","https://x.com/JHPrabowo/status/1842154402120958119","158912165","JHPrabowo"
"1842065064377094462","Fri Oct 04 04:51:49 +0000 2024","2","Jangan lupa ya Hadiri Perayaan Puncak HUT TNI KE-79 DI SILANG MONAS @prabowo https://t.co/77uJUCPfx8","1842065064377094462","https://pbs.twimg.com/media/GZBUaTPaMAAaWZ3.jpg","","in","DKI Jakarta, Indonesia","0","0","1","https://x.com/Lembayung071/status/1842065064377094462","1227499861580251136","Lembayung071"
"1842829599870492772","Sun Oct 06 07:29:49 +0000 2024","12","Jokowi mengatakan susunan kabinet dalam pemerintahan selanjutnya adalah hak prerogatif Prabowo selaku presiden RI terpilih. #JudolBlock HOTS Rp 1 Panas Bisseck Sterling Beby #JapaneseGP wanita ahli neraka PP 82 Lahan Korupsi MA https://t.co/BoFIsxv4lJ","1842829599870492772","https://pbs.twimg.com/media/GZMLwTbbgAEiFfm.jpg","","in","Indonesia ","1","6","9","https://x.com/KardoSony/status/1842829599870492772","1372794477861949443","KardoSony"
"1842118565509603621","Fri Oct 04 08:24:25 +0000 2024","2","Pelantikan presiden terpilih dan wakil presiden terpilih Prabowo-Gibran sebentar lagi beberapa calon atau kandidat Menteri pun kian mengerucut. Dekamin rangkum beberapa nama calon Menteri Luar Negeri versi beberapa sumber.. Coba deh komen kira-kira siapa yang cocok ya? https://t.co/Wiejvm6nIM","1842118565509603621","https://pbs.twimg.com/media/GZCE6fibEAAEeT5.jpg","","in","DKI Jakarta, Indonesia","1","1","3","https://x.com/dekade_08/status/1842118565509603621","1576913175227748352","dekade_08"
"1842493747218812968","Sat Oct 05 09:15:15 +0000 2024","11","@prabowo pada akhirnya meninggalkan @jokowi... Prabowo marah dan mengacuhkaan @gibran_twit Terbukti kan pada pelantikan DPR RI cuma dihadiri presiden terpilih saja wakilnya disingkirkan perlahan2. Begitulah kira2 narasi yang dihembuskan kaum pengasong kebencian dan pemulung https://t.co/ozQlfPCBGC","1842493747218812968","https://pbs.twimg.com/ext_tw_video_thumb/1842493593556250624/pu/img/9aNVllzDo3KM38h9.jpg","prabowo","in","","2","2","6","https://x.com/are_inismyname/status/1842493747218812968","1152447574411902977","are_inismyname"
